title,isbn,authors,categories,publicationYear,totalQuantity,description,pageCount,tags
The Pragmatic Programmer,9780135957059,David Thomas|Andrew Hunt,Programming|Software Engineering,2019,3,"A practical guide to writing cleaner software and thoughtful code.",352,thoughtful|self-improvement|inspiring
Pride and Prejudice,9780141439518,Jane Austen,Romance|Fiction,1813,4,"A witty and warm story of manners, misunderstandings, and love.",432,romantic|funny|cozy|slow-burn
The Hobbit,9780547928227,J.R.R. Tolkien,Fantasy|Adventure,1937,3,"A small hero leaves home for a warm-hearted unexpected journey.",310,adventure|quest|cozy|epic
Dune,9780441172719,Frank Herbert,Science Fiction|Adventure,1965,2,"An expansive political and ecological epic on a desert world.",688,adventure|dark|epic|thoughtful
1984,9780451524935,George Orwell,Dystopia|Fiction,1949,3,"A dark warning about surveillance, power, and controlled truth.",328,dark|dystopia|thoughtful
The Little Prince,9780156012195,Antoine de Saint-Exupery,Children|Fiction|Poetry,1943,5,"A gentle fable about friendship, wonder, and seeing with the heart.",96,cozy|thoughtful|inspiring|heartwarming
The Alchemist,9780062315007,Paulo Coelho,Fiction|Inspiring,1988,3,"A hopeful journey about following a dream and listening to the world.",208,inspiring|adventure|uplifting|journey
Atomic Habits,9780735211292,James Clear,Self-Help|Psychology,2018,3,"A clear practical guide to small changes and lasting improvement.",320,inspiring|self-improvement|thoughtful
The Book Thief,9780375842207,Markus Zusak,Historical Fiction|Drama,2005,2,"A moving story of courage, words, and kindness in a dark time.",592,dark|inspiring|thoughtful|tragedy
Meditations,9780812968255,Marcus Aurelius,Philosophy|Essays,2002,3,"Private reflections on discipline, resilience, and a meaningful life.",304,thoughtful|philosophical|inspiring
The Great Gatsby,9780743273565,F. Scott Fitzgerald,Fiction|Romance,1925,3,"A short glittering tragedy of longing, wealth, and reinvention.",180,romantic|dark|tragedy
The Hitchhiker's Guide to the Galaxy,9780345391803,Douglas Adams,Science Fiction|Comedy,1979,3,"An absurd interstellar escape packed with wit and cosmic curiosity.",224,funny|adventure|absurd
